ID,GENERO,RENTA,EDAD,NIV_EDUC,E_CIVIL,COD_OFI,COD_COM,CIUDAD,Crédito_1,Crédito_2,Crédito_3,Crédito_4,Monto solicitado,Días de Mora,Monto Deuda Promedio,Número de meses inactivo,numero de cuotas,Aval,PAGA
2295,F       ,500000,49,MED     ,CAS     ,80,81,SANTIAGO        ,0,128846,0,188588,187,0,0,1,19,NO,
2296,M       ,75000,42,UNV     ,CAS     ,122,80,SANTIAGO        ,0,600000,0,0,20,0,0,1,80,NO,
2297,M       ,804000,29,UNV     ,CAS     ,101,87,SANTIAGO        ,0,1500000,0,43430,0,12,0,1,26,NO,
2298,M       ,45500,45,MED     ,CAS     ,55,90,SANTIAGO        ,2223208,1528,0,0,2657,0,496,1,14,NO,
2299,M       ,4820000,41,UNV     ,CAS     ,41,88,SANTIAGO        ,0,434897,0,352646,0,0,0,1,16,SI,
2300,M       ,7500000,43,UNV     ,CAS     ,55,90,SANTIAGO        ,0,500000,0,372944,0,3,0,1,23,SI,
2301,M       ,75000,43,UNV     ,CAS     ,53,88,SANTIAGO        ,0,1299962,0,0,264,0,0,1,80,SI,
2302,M       ,60000,47,UNV     ,CAS     ,55,90,SANTIAGO        ,0,780445,0,1922472,16,0,19351,2,37,NO,
2303,M       ,480000,34,MED     ,CAS     ,85,88,SANTIAGO        ,0,190181,0,0,46,0,0,1,18,NO,
2304,M       ,1197000,39,MED     ,CAS     ,55,226,CONCEPCION      ,0,250000,0,1182,3541,22,263,1,25,NO,
2305,M       ,770000,50,UNV     ,CAS     ,39,84,SANTIAGO        ,716281,388050,0,263031,1142,0,268,1,28,NO,
2306,M       ,6000000,38,UNV     ,CAS     ,55,90,SANTIAGO        ,0,990966,0,455424,859,0,463,2,19,NO,
2307,M       ,1900000,48,UNV     ,SEP     ,138,1,ARICA           ,3600373,288164,0,0,8366,2,1523,3,31,NO,
2308,F       ,64000,46,TEC     ,SOL     ,32,115,SANTIAGO        ,2973951,0,0,0,4357,0,0,1,11,SI,
2309,F       ,90000,38,TEC     ,SOL     ,50,88,SANTIAGO        ,0,0,0,0,1000,0,0,1,8,SI,
2310,F       ,2100000,52,TEC     ,CAS     ,102,90,SANTIAGO        ,0,2720553,0,0,0,0,31,0,80,NO,
2311,M       ,1450000,50,UNV     ,CAS     ,31,119,SANTIAGO        ,752613,2000000,0,1486534,4263,0,55627,2,30,NO,
2312,M       ,63800,40,MED     ,CAS     ,64,115,SANTIAGO        ,0,600520,0,0,7,0,13488,1,35,NO,
2313,M       ,6000000,44,UNV     ,CAS     ,31,119,SANTIAGO        ,0,22644,0,300000,898,0,306,2,11,NO,
2314,F       ,80000,54,TEC     ,SOL     ,107,85,SANTIAGO        ,0,0,0,0,0,0,0,0,20,SI,
2315,M       ,490000,55,MED     ,SEP     ,90,90,SANTIAGO        ,0,0,5423403,0,0,0,5722,1,20,NO,
2316,M       ,7500000,43,UNV     ,CAS     ,80,88,SANTIAGO        ,0,80466,0,838421,5802,37,2409,3,11,NO,
2317,M       ,1500000,54,UNV     ,CAS     ,27,226,CONCEPCION      ,0,2000000,0,237501,1988,30,29741,1,55,NO,
2318,M       ,664000,51,UNV     ,CAS     ,127,97,SANTIAGO        ,0,275371,0,1123502,500,0,1169,2,22,NO,
2319,M       ,1201000,44,UNV     ,CAS     ,17,103,SANTIAGO        ,913695,29328,0,497417,5343,17,401,3,7,NO,
2320,M       ,1170000,26,TEC     ,CAS     ,37,85,SANTIAGO        ,0,0,0,0,25,0,50,1,59,NO,
2321,M       ,3200000,49,UNV     ,CAS     ,123,90,SANTIAGO        ,0,101271,0,5632483,3342,14,10018,2,80,NO,
2322,F       ,800000,54,UNV     ,SOL     ,73,90,SANTIAGO        ,0,212070,0,194358,295,0,0,1,38,NO,
2323,F       ,495000,45,        ,CAS     ,52,88,SANTIAGO        ,0,600000,0,8872,710,0,0,1,13,SI,
2324,F       ,77900,55,TEC     ,SOL     ,105,63,HIJUELAS        ,0,136929,0,1000000,157,5,2844,1,36,SI,
2325,M       ,4810000,42,UNV     ,CAS     ,55,90,SANTIAGO        ,1105630,761880,0,800000,1449,0,14830,1,27,SI,
2326,M       ,720000,55,UNV     ,SOL     ,27,226,CONCEPCION      ,0,450000,0,159425,96,6,102,1,25,NO,
2327,F       ,450000,50,TEC     ,CAS     ,138,1,ARICA           ,0,1149975,6200898,0,0,24,7398,1,7,NO,
2328,M       ,1044000,49,UNV     ,SOL     ,120,116,SANTIAGO        ,1438520,232488,0,187326,1672,0,224,1,36,NO,
2329,F       ,666000,29,TEC     ,CAS     ,52,67,VINA DEL MAR    ,0,600000,0,0,0,12,0,0,21,NO,
2330,F       ,800000,27,UNV     ,SOL     ,125,89,SANTIAGO        ,0,0,0,117908,0,0,145,0,40,NO,
2331,F       ,800000,41,UNV     ,CAS     ,103,127,TALAGANTE       ,0,500000,0,0,0,20,0,0,35,NO,
2332,F       ,600000,28,TEC     ,,25,93,SANTIAGO        ,0,217052,,31973,155,0,35,1,22,NO,
2333,M       ,1173000,47,UNV     ,CAS     ,76,80,SANTIAGO        ,0,256348,0,0,145,0,0,1,57,NO,
2334,M       ,2187000,50,UNV     ,CAS     ,31,119,SANTIAGO        ,0,1398162,0,0,0,23,0,1,80,NO,
2335,,540000,49,UNV     ,CAS     ,86,49,LOS ANDES       ,619806,0,0,0,717,9,0,1,15,NO,
2336,F       ,696000,43,TEC     ,CAS     ,14,22,COPIAPO         ,1298602,1055159,0,398675,1619,0,295,1,5,SI,
2337,F       ,7710000,35,TEC     ,VIU     ,40,67,VINA DEL MAR    ,0,500000,0,0,53,7,0,1,18,NO,
2338,M       ,50000,52,UNV     ,CAS     ,55,90,SANTIAGO        ,1939711,0,0,1000000,2170,0,1021,1,5,NO,
2339,F       ,82500,54,TEC     ,VIU     ,80,89,SANTIAGO        ,0,743771,0,0,151,0,0,1,47,SI,
2340,M       ,529000,32,TEC     ,CAS     ,42,31,COQUIMBO        ,0,500000,0,0,935,2,0,1,12,NO,
2341,F       ,65000,34,TEC     ,SOL     ,60,298,LLANQUIHUE      ,727602,640180,0,559326,1323,0,34237,1,15,SI,
2342,F       ,5260000,41,TEC     ,VIU     ,147,89,SANTIAGO        ,0,800000,0,0,0,25,0,0,42,NO,
2343,F       ,800000,44,UNV     ,CAS     ,29,90,SANTIAGO        ,0,48168,0,300000,613,0,306,2,34,NO,
2344,F       ,90000,62,MED     ,SOL     ,54,80,SANTIAGO        ,534281,411410,0,265904,1318,0,414,1,5,SI,
2345,F       ,3500000,56,MED     ,CAS     ,24,86,SANTIAGO        ,0,2600000,0,0,1,34,0,1,80,NO,
2346,F       ,4500000,41,MED     ,SOL     ,144,85,SANTIAGO        ,0,800000,0,552629,0,21,0,0,80,NO,
2347,M       ,,48,MED     ,CAS     ,31,119,SANTIAGO        ,0,100256,0,210389,224,0,8454,1,38,SI,
2348,M       ,518000,46,TEC     ,CAS     ,89,23,CALDERA         ,0,650000,0,294727,1055,11,2315,2,11,NO,
2349,M       ,830000,34,MED     ,CAS     ,121,85,SANTIAGO        ,2125258,0,0,0,3543,0,0,3,7,NO,
2350,F       ,60000,38,MED     ,VIU     ,66,253,TEMUCO          ,0,250000,0,0,1222,4,314,1,9,NO,
2351,F       ,700000,34,TEC     ,SOL     ,77,227,TALCAHUANO      ,0,0,0,0,1080,26,1480,1,18,NO,
2352,F       ,700000,50,MED     ,CAS     ,95,316,AYSEN           ,1038728,0,0,0,0,0,0,0,18,NO,
2353,F       ,55000,54,TEC     ,SOL     ,19,88,SANTIAGO        ,0,303898,0,0,2054,0,0,1,7,SI,
2354,F       ,648000,52,TEC     ,SEP     ,10,5,IQUIQUE         ,0,300000,0,0,55,8,0,1,23,NO,
2355,M       ,7500000,40,UNV     ,CAS     ,55,90,SANTIAGO        ,2504838,836658,0,655393,3058,0,292,2,15,NO,
2356,M       ,577000,26,TEC     ,SOL     ,37,109,SANTIAGO        ,0,243901,0,0,,4,0,1,21,NO,
2357,F       ,450000,25,TEC     ,CAS     ,82,105,SANTIAGO        ,0,129567,0,469387,246,0,224,1,16,NO,
2358,M       ,650000,51,UNV     ,CAS     ,31,119,SANTIAGO        ,0,44615,0,47786,2111,0,16,3,5,SI,
2359,M       ,2858000,48,MED     ,CAS     ,52,93,SANTIAGO        ,0,132447,0,2423771,6248,50,4669,3,80,NO,
2360,F       ,500000,55,MED     ,CAS     ,68,226,CONCEPCION      ,0,250000,0,0,0,12,0,0,18,NO,
2361,M       ,80000,48,UNV     ,CAS     ,55,90,SANTIAGO        ,0,600000,0,0,1350,0,0,1,9,NO,
2362,,1851000,38,MED     ,CAS     ,129,88,SANTIAGO        ,0,2500000,0,0,13,0,172,2,80,SI,
2363,M       ,5990000,42,UNV     ,CAS     ,55,90,SANTIAGO        ,0,250000,0,0,1164,0,0,2,9,NO,
2364,F       ,860000,50,UNV     ,SOL     ,103,93,SANTIAGO        ,2238308,-399,0,250000,2825,0,246,1,15,NO,
2365,M       ,692000,48,TEC     ,SOL     ,138,1,ARICA           ,0,133999,0,100000,366,0,2329,2,25,NO,
2366,F       ,470000,58,TEC     ,CAS     ,72,504,EL SALVADOR     ,0,538534,0,0,168,0,312,1,14,NO,
2367,M       ,1900000,34,UNV     ,CAS     ,25,93,SANTIAGO        ,0,1136257,0,0,4,0,0,1,80,NO,
2368,M       ,4400000,39,UNV     ,CAS     ,55,90,SANTIAGO        ,716378,-25864,0,579646,1649,19,589,3,6,SI,
2369,M       ,70000,54,UNV     ,CAS     ,16,105,SANTIAGO        ,0,603934,0,437382,779,7,1013,2,14,SI,
2370,M       ,6850000,43,UNV     ,CAS     ,29,92,SANTIAGO        ,0,312841,0,0,198,0,0,1,57,NO,
2371,F       ,2027000,49,TEC     ,CAS     ,20,49,LOS ANDES       ,0,278114,0,537791,205,0,24259,2,80,NO,
2372,F       ,8000000,26,TEC     ,VIU     ,22,1,ARICA           ,0,243962,0,235981,6,0,0,1,16,NO,
2373,M       ,500000,52,MED     ,CAS     ,27,226,CONCEPCION      ,0,0,0,0,1338,0,0,2,7,NO,
2374,M       ,1500000,53,UNV     ,SOL     ,67,193,CHILLAN         ,0,3000000,0,72053,0,32,367,0,45,NO,
2375,M       ,500000,31,MED     ,CAS     ,60,291,PUERTO MONTT    ,0,870757,0,500000,1219,14,511,2,8,NO,
2376,F       ,846000,51,MED     ,CAS     ,62,292,PUERTO VARAS    ,661946,0,0,0,803,0,22524,1,35,NO,
2377,M       ,458000,35,UNV     ,SOL     ,122,93,SANTIAGO        ,0,250000,0,0,25,0,0,1,16,NO,
2378,F       ,650000,30,TEC     ,SOL     ,90,85,SANTIAGO        ,0,750000,0,0,0,31,0,0,19,NO,
2379,M       ,80300,40,UNV     ,SEP     ,55,90,SANTIAGO        ,0,0,0,0,0,2,0,1,40,NO,
2380,M       ,900000,49,UNV     ,CAS     ,44,213,LOS ANGELES     ,1886971,0,0,0,1996,0,0,1,26,SI,
2381,M       ,481000,51,MED     ,CAS     ,138,1,ARICA           ,0,310561,0,0,278,0,0,1,17,SI,
